"","X.2","X.1","X","algorithm","replicate","instance","group","result"
"738",738,738,738,1,4,56,13,3180536.59019378
"739",739,739,739,1,22,27,7,713825.118050989
"740",740,740,740,2,6,84,20,5162023.29472302
"741",741,741,741,1,20,70,16,4474667.1828351
"742",742,742,742,1,11,11,3,23372.8687244013
"743",743,743,743,2,30,145,34,11272026.0062516
"744",744,744,744,1,28,70,16,3900389.59881932
"745",745,745,745,1,28,74,17,4423340.60588759
"746",746,746,746,2,23,28,7,86318.0541565269
"747",747,747,747,1,30,143,33,10269761.5471662
"748",748,748,748,1,8,19,5,361573.960691953
"749",749,749,749,2,18,91,21,6585308.16796541
"750",750,750,750,1,29,129,30,10185280.298274
"751",751,751,751,2,16,68,16,3832473.80881748
"752",752,752,752,1,25,75,18,4968090.95970745
"753",753,753,753,2,13,30,7,224858.386971603
"754",754,754,754,2,7,88,21,5520502.4451874
"755",755,755,755,1,11,70,16,4941996.53452682
"756",756,756,756,2,10,90,21,4638810.11095563
"757",757,757,757,2,8,21,5,48338.684266444
"758",758,758,758,2,9,90,21,6215423.61860682
"759",759,759,759,1,9,51,12,2781566.08371354
"760",760,760,760,1,19,67,16,4120167.66496596
"761",761,761,761,2,2,12,3,941.523548588725
"762",762,762,762,2,26,4,1,3.70142861043011
"763",763,763,763,2,25,36,9,688648.37770518
"764",764,764,764,1,25,45,11,2662237.34189806
"765",765,765,765,1,15,43,10,2000122.56015587
"766",766,766,766,1,4,133,31,9862841.07486348
"767",767,767,767,1,28,53,13,3275368.63706232
"768",768,768,768,1,25,148,34,10843302.3454488
