"","X.1","X","algorithm","replicate","instance","group","result"
"1810",1810,25,2,1,102,25,8194166.4144761
"1811",1811,26,2,1,106,26,7662579.03138694
"1812",1812,27,2,1,110,27,8024529.51545691
"1813",1813,28,2,1,114,28,8246866.8153983
"1814",1814,29,2,1,118,29,7669745.14178495
"1815",1815,30,2,1,122,30,8790669.14190705
"1816",1816,31,2,1,126,31,9523011.54478328
"1817",1817,32,2,1,130,32,9717865.43243122
"1818",1818,33,2,1,134,33,10096310.4470542
"1819",1819,34,2,1,138,34,9532107.28174512
"1820",1820,35,2,1,142,35,11224522.8947432
"1821",1821,1,1,1,6,1,258.350527201233
"1822",1822,2,1,1,10,2,16355.7851061862
"1823",1823,3,1,1,14,3,140361.176718501
"1824",1824,4,1,1,18,4,250208.888931019
"1825",1825,5,1,1,22,5,428082.555120269
"1826",1826,6,1,1,26,6,722694.68516867
"1827",1827,7,1,1,30,7,924905.714060424
"1828",1828,8,1,1,34,8,957564.74763529
"1829",1829,9,1,1,38,9,1632695.58312516
"1830",1830,10,1,1,42,10,2272955.41570563
"1831",1831,11,1,1,46,11,2537338.61487462
"1832",1832,12,1,1,50,12,2457601.37554003
"1833",1833,13,1,1,54,13,2948074.03466167
